frame,a_AU,R_d_Rsun,R_wd_Rsun,brightness_d,brightness_w,color_d_K,color_wd_K,M_d_Msun,M_wd_Msun,P_days,is_SN
0,0.011170169314173363,1.0,0.008966197760856628,0.843153299729992,9.360806673434448,5639.895277111123,10375.19924973304,0.9524242424242425,0.8380606060606061,0.3295246632239503,0
1,0.0111642678239454,0.961754778778479,0.008587849359691754,0.696010374453947,10.938096214984373,5494.994781953905,11068.521548267063,0.9016397727623141,0.8786881817901487,0.32597846488035287,0
2,0.01115847641012256,0.9205056291993012,0.008188976553826909,0.696010374453947,0.0,5494.994781953905,7229.50545432119,0.9016397727623141,0.8786881817901487,0.32547708376042905,0
3,0.011152779427089253,0.9205056291993012,0.008188976553826909,0.6890557726893585,0.5848754237568949,5487.510806876868,7246.038675986149,0.8990564568771642,0.8807548344982686,0.3249565633626643,0
4,0.011147175787664748,0.9183951287675993,0.008168785241447067,0.6815359822128064,0.6403789380923431,5479.34480277982,7264.050191335403,0.8962421576038434,0.8830062739169253,0.32445028045257107,0
5,0.011141649018286435,0.9160945401422181,0.008146797049607883,0.6748495189418777,0.5765285318267651,5472.01806729821,7280.1853257420935,0.8937210428527977,0.8850231657177617,0.3239580118613287,0
6,0.011136205865747553,0.9140323922264698,0.008127106744858214,0.6680548462863962,0.5928629319796183,5464.508203564799,7296.698987598214,0.891140783187779,0.8870873734497767,0.32347957162421226,0
7,0.011130823639538122,0.9119206616138905,0.008106961294274835,0.6617614993537103,0.5555520271755181,5457.493311596575,7312.10160028107,0.8887341249560825,0.8890127000351338,0.32301147892031595,0
8,0.011125522543010184,0.9099499070431929,0.008088177178882463,0.6554736446146323,0.5613671148377868,5450.426720863008,7327.595619223623,0.8863131844963086,0.8909494524029529,0.32255551201310106,0
9,0.01112026297061506,0.9079663799335383,0.008069287131366605,0.6495551723290158,0.5342579614667281,5443.72152782454,7342.276733170696,0.8840192604420785,0.892784591646337,0.3221077277837588,0
10,0.011115094011626503,0.9060859199976632,0.008051393078613881,0.6436648951271292,0.537470153697739,5436.995644437319,7356.983083329097,0.8817213932298282,0.8946228854161371,0.32167069533440573,0
11,0.011109933285314393,0.9042012489427194,0.008033472856135412,0.6380837701852432,0.5146618827165317,5430.573507777095,7371.006528723883,0.8795302298868929,0.8963758160904854,0.32124012658062956,0
12,0.011104900194612336,0.9024031793963404,0.00801638887118501,0.6325200917072515,0.5183785642410454,5424.122941731842,7385.0736133332,0.8773322479166871,0.89813420166665,0.32081946649562587,0
13,0.011099800668651853,0.9005986141653509,0.007999255558555138,0.6272425488814999,0.4967235481535659,5417.958641662045,7398.499156749842,0.875234506757837,0.8998123945937302,0.32040360477550206,0
14,0.011094940947948584,0.8988755041902131,0.007982907045392415,0.6219509554706104,0.503022987240473,5411.732758789216,7412.041698584935,0.8731184845961036,0.9015052123231169,0.3199974504494954,0
15,0.011089999722296148,0.8971365409592885,0.007966419286749996,0.6169527877532498,0.47978861069101764,5405.809922134144,7424.909081322266,0.8711079560433957,0.9031136351652832,0.3195941218179276,0
16,0.01107667453370417,0.8954834921342711,0.007950756377710722,0.6118842192252163,0.49124524404747816,5399.761156633559,7438.03397211781,0.869057191856592,0.9047542465147261,0.3192012430537575,0
17,0.011066467567746744,0.8937965754189607,0.007934782740831169,0.6071552512334432,0.4626730505023028,5394.078488783421,7450.349691954649,0.8671328606320858,0.9062937114943311,0.3188083001678119,0
